cci,cop,emp,gdp,cip,ppime,ppinm,tcs
5082.3,19.83,4685,6748.2,92.514,132.1,132.7,4.60E+05
5229.7,19.74,4734,6829.6,93.544,132.1,133.5,4.73E+05
5245.7,17.81,4804,6904.2,94.703,132,134.1,4.91E+05
5284,16.43,4893,7032.8,96.916,131.9,135.6,5.14E+05
5362.7,14.83,4951,7136.3,97.752,133.4,136.9,5.16E+05
5406,17.83,5076,7269.8,100.8,133.4,137.8,5.32E+05
5423.3,18.47,5146,7352.3,102.41,133.7,138.2,5.38E+05
5438.3,17.64,5204,7476.7,103.88,134.3,138.5,5.38E+05
5440.7,18.38,5223,7545.3,103.86,135.9,140.7,5.41E+05
5432.3,19.34,5241,7604.9,102.39,136.5,141.9,5.44E+05
5493.7,17.87,5291,7706.5,103.25,136.8,143.1,5.51E+05
5518,18.13,5352,7799.5,104.77,137.5,143.5,5.57E+05
5530.7,19.76,5405,7893.1,104.74,139.2,144.6,5.73E+05
5573,21.71,5502,8061.5,107.85,139.7,145.5,5.98E+05
5650.7,22.34,5584,8159,109.59,140.1,145.9,6.06E+05
5734.3,24.63,5662,8287.1,110.61,140.4,146.2,6.16E+05
5764.3,22.85,5716,8402.1,111.27,142,147.2,6.15E+05
5832,19.92,5783,8551.9,112.8,142,148.3,6.22E+05
5856,19.8,5846,8691.8,113.76,142.1,148.6,6.41E+05
5848,19.96,5907,8788.3,115.79,142.9,148.8,6.46E+05
5867,15.94,5983,8889.7,117.77,144.9,150.7,6.54E+05
5886.3,14.64,6089,8994.7,118.73,145.2,152.8,6.84E+05
5937.7,14.22,6204,9146.5,119.6,145.3,153.6,7.01E+05
5990.7,12.93,6314,9325.7,121.44,145.3,153.9,7.08E+05
5992.7,13.17,6396,9447.1,121.37,146.5,155.7,7.24E+05
6017.7,17.65,6514,9557,121.25,147.3,156.8,7.32E+05
6098.3,21.72,6590,9712.3,122.24,147.4,157.9,7.46E+05
6129.3,24.6,6679,9926.1,124.62,147.6,158.6,7.77E+05
6164,28.9,6764,10031,126.35,148.3,160.6,7.96E+05
6224,28.92,6781,10278,125.65,148.6,163.3,8.02E+05
6227.3,31.63,6799,10357,124.71,148.8,164.1,8.01E+05
6269.3,32.06,6808,10472,123.26,148.9,164.3,8.16E+05
6277.3,28.76,6842,10508,121.65,149,167,8.19E+05
6297.3,27.92,6844,10638,120.26,149.1,168.8,8.49E+05
6394.7,26.7,6828,10640,118.49,149.1,169.7,8.45E+05
6399,20.5,6791,10701,116.68,149.1,169.6,8.47E+05
6475.3,21.64,6765,10834,117.78,149.8,171.8,8.55E+05
6508,26.27,6698,10935,119.72,151.3,173.1,8.52E+05
6595.3,28.32,6697,11037,119.58,151.4,173.6,8.39E+05
6573.3,28.3,6701,11104,119.64,151.6,173.6,8.47E+05
6616,34.04,6675,11230,118.68,152.7,175.5,8.58E+05
6657,28.98,6706,11371,117.97,153.4,177,8.69E+05
6723,30.22,6759,11625,118.63,153.4,177.6,9.02E+05
6782.3,31.17,6802,11817,120.25,153.5,178.2,9.33E+05
6881.3,35.34,6858,11988,120.54,155.4,180.5,9.46E+05
7063.7,38.32,6937,12181,121.01,156.8,182.8,9.75E+05
7204,43.89,7003,12368,122.08,159,184.5,1.01E+06
7311.3,48.3,7095,12562,123.16,162.6,185.4,1.03E+06
7301.3,49.9,7143,12814,124.65,164.8,191.4,1.06E+06
7389.3,53.11,7298,12974,126.08,168,194.8,1.09E+06
7480.3,63.31,7387,13205,127.25,169.8,197.4,1.13E+06
7613.3,60.03,7506,13382,132.03,170.4,199.5,1.17E+06
7680.3,63.27,7651,13649,133.03,174.2,207.9,1.20E+06
7695.3,70.46,7713,13800,130.95,175.3,212.1,1.18E+06
7735.3,70.48,7717,13909,129.81,175.7,217,1.15E+06
7894,59.94,7678,14066,128.94,176.6,218.4,1.13E+06
7872,58.08,7686,14233,129.68,178.7,227.6,1.14E+06
7915.3,64.97,7682,14422,130.57,179.2,231.1,1.16E+06
8005.3,75.22,7616,14570,129.84,179.9,233.6,1.16E+06
8075.3,90.58,7526,14685,128.12,180.6,237.1,1.13E+06
8097.7,97.86,7445,14668,126.06,182.5,242.8,1.10E+06
8146,123.78,7271,14813,121.07,183.8,245.8,1.10E+06
8404,118.29,7106,14843,116.73,186.1,250.1,1.07E+06
8592,58.68,6827,14550,106.36,189,252.2,1.03E+06
8538.7,43.14,6435,14384,94.165,191.2,257.7,9.64E+05
8560,59.61,6088,14340,89.468,191.5,260.5,9.16E+05
8572,68.14,5858,14384,89.586,190.8,259.7,8.94E+05
8609.7,76,5689,14567,88.553,190.6,258.6,8.53E+05
8667.7,78.81,5539,14681,89.904,190.9,260.4,8.13E+05
8747.7,77.82,5530,14889,94.395,191,261.6,8.23E+05
8839,76.06,5511,15058,94.947,191.6,263.5,8.00E+05
8941.3,85.16,5494,15230,95.436,192.1,263.4,7.95E+05
8982.3,94.07,5452,15238,94.214,194.8,265.1,7.60E+05
9038.3,102.02,5510,15461,95.361,196.2,266.4,7.81E+05
9094.7,89.49,5561,15587,96.606,198.4,267.6,8.01E+05
9164,94.02,5597,15785,97.301,200.1,267,8.08E+05
9214,102.98,5627,15974,99.86,203.2,270.4,8.26E+05
9284.7,93.29,5618,16122,100.39,205,272.6,8.48E+05
9338.7,92.17,5645,16228,99.296,205.8,274.2,8.59E+05
9395.3,88.01,5694,16297,100.45,207.5,273.9,8.68E+05
9448.7,94.33,5783,16441,102.69,209.8,276.7,8.65E+05
9514,94.05,5832,16527,102.09,210.7,277.8,8.85E+05
9549.7,105.83,5877,16728,102.72,211.1,279.4,9.16E+05
9674.3,97.5,5939,16958,103.91,211.3,281.4,9.50E+05
9682.3,98.68,6027,16984,104.24,213.4,286.1,9.83E+05
9782,103.35,6115,17270,105.89,214.4,289.4,9.89E+05
9850.3,97.87,6194,17522,108.07,214.6,290.3,9.88E+05
9911.3,73.21,6263,17616,109.3,214.8,291.2,1.02E+06
9968.7,48.49,6367,17649,108.93,216.6,296.2,1.04E+06
10003,57.85,6420,17914,108.89,216.7,298.9,1.10E+06
10047,46.49,6443,18060,109.73,217.3,301.5,1.12E+06
